,hey,hi,heyo,salute,salut,howdy,salam,ezayak,hola,greetings,yo,good morning,good afternoon,hello,,,,,,,,,,,,,,,,,,,,,,,,,,
recommend,recommendation,recommendations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,eat,hungry,starving,craving,yearning,appetite,a stomach for,longing,lust,desire,hungriness,belly,itching,taste,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,steak,shawerma,fries,feter,pizza,sushi,fish,wings,burger,beef,italian,american,chinese,greek,indian,protein,seafood,sheep,ham,kebab,kabab,sandwich,sausage,hot dog,salad,noodles,fried chicken,taco,mexican,burrito,lamb,veal,goat,bison,turkey,duck,pigeon,salmon,lobster,gandofli
dinein,indoors,indoor,inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoor,outdoors,take-away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delivery,delivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rehab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bye,goodbye,later,ciao,seeyoulater,farewell,bestwishes,cya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,friends,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yeah,yea,okay,sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,nah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
